PERMNO,date,PRC,CFACPR
90878,08/29/2008,64.62000,1
90878,09/30/2008,58.36000,1
90878,10/31/2008,48.16000,1
90878,11/28/2008,44.30000,1
90878,12/31/2008,44.74000,1
90878,01/30/2009,41.14000,1
90878,02/27/2009,36.81000,1
90878,03/31/2009,39.58000,1
90878,04/30/2009,43.93000,1
90878,05/29/2009,46.33000,1
90878,06/30/2009,46.27000,1
90878,07/31/2009,49.85000,1
90878,08/31/2009,51.70000,1
90878,09/30/2009,53.59000,1
90878,10/30/2009,52.18000,1
90878,11/30/2009,55.15000,1
90878,12/31/2009,56.37000,1
90878,01/29/2010,54.36000,1
90878,02/26/2010,56.23000,1
90878,03/31/2010,59.59000,1
90878,04/30/2010,60.89000,1
90878,05/28/2010,56.09000,1
90878,06/30/2010,52.56000,1
90878,07/30/2010,56.25000,1
90878,08/31/2010,53.60000,1
90878,09/30/2010,58.37000,1
90878,10/29/2010,60.72000,1
90878,11/30/2010,61.03000,1
90878,12/31/2010,64.93000,1
90878,01/31/2011,66.26000,1
90878,02/28/2011,68.71000,1
90878,03/31/2011,68.71000,1
90878,04/29/2011,70.70000,1
90878,05/31/2011,69.95000,1
90878,06/30/2011,68.40000,1
90878,07/29/2011,66.85000,1
90878,08/31/2011,62.78000,1
90878,09/30/2011,57.72000,1
90878,10/31/2011,64.28000,1
90878,11/30/2011,64.04000,1
90878,12/30/2011,64.30000,1
90878,01/31/2012,67.56000,1
90878,02/29/2012,70.41000,1
90878,03/30/2012,72.26000,1
90878,04/30/2012,71.80000,1
90878,05/31/2012,67.33000,1
90878,06/29/2012,69.70000,1
90878,07/31/2012,70.31000,1
90878,08/31/2012,72.21000,1
90878,09/28/2012,73.65000,1
90878,10/31/2012,72.32000,1
90878,11/30/2012,72.88000,1
90878,12/31/2012,73.28000,1
90878,01/31/2013,77.25000,1
90878,02/28/2013,78.24000,1
90878,03/28/2013,80.96000,1
90878,04/30/2013,82.26000,1
90878,05/31/2013,84.27000,1
90878,06/28/2013,82.67000,1
90878,07/31/2013,87.42000,1
90878,08/30/2013,84.77000,1
90878,09/30/2013,87.65000,1
90878,10/31/2013,91.38500,1
90878,11/29/2013,93.86000,1
90878,12/31/2013,95.92000,1
90878,01/31/2014,92.88000,1
90878,02/28/2014,97.40000,1
90878,03/31/2014,97.47000,1
90878,04/30/2014,97.53000,1
90878,05/30/2014,99.58000,1
90878,06/30/2014,101.77000,1
90878,07/31/2014,99.74000,1
90878,08/29/2014,103.88000,1
90878,09/30/2014,101.24000,1
90878,10/31/2014,104.02000,1
90878,11/28/2014,106.60000,1
90878,12/31/2014,106.00000,1
90878,01/30/2015,103.10000,1
90878,02/27/2015,109.02000,1
90878,03/31/2015,107.25000,1
90878,04/30/2015,107.91000,1
90878,05/29/2015,109.31000,1
90878,06/30/2015,107.02000,1
90878,07/31/2015,108.84000,1
90878,08/31/2015,102.21000,1
90878,09/30/2015,98.72000,1
90878,10/30/2015,106.53000,1
90878,11/30/2015,107.17000,1
90878,12/31/2015,104.30000,1
90878,01/29/2016,98.33000,1
90878,02/29/2016,98.32000,1
90878,03/31/2016,104.82000,1
90878,04/29/2016,105.51000,1
90878,05/31/2016,107.34000,1
90878,06/30/2016,107.16000,1
90878,07/29/2016,111.42000,1
90878,08/31/2016,111.65000,1
90878,09/30/2016,111.33000,1
90878,10/31/2016,108.89000,1
90878,11/30/2016,113.78000,1
90878,12/30/2016,115.32000,1
90878,01/31/2017,117.46000,1
90878,02/28/2017,121.80000,1
90878,03/31/2017,121.32000,1
90878,04/28/2017,122.61000,1
90878,05/31/2017,123.85000,1
90878,06/30/2017,124.45000,1
90878,07/31/2017,126.79000,1
90878,08/31/2017,126.98000,1
90878,09/29/2017,129.52000,1
90878,10/31/2017,132.33000,1
90878,11/30/2017,136.34000,1
90878,12/29/2017,137.25000,1
90878,01/31/2018,144.42999,1
90878,02/28/2018,139.00000,1
90878,03/29/2018,135.72000,1
90878,04/30/2018,136.33000,1
90878,05/31/2018,140.03999,1
90878,06/29/2018,140.42999,1
90878,07/31/2018,145.09000,1
90878,08/31/2018,150.07001,1
90878,09/28/2018,149.64999,1
90878,10/31/2018,138.56000,1
90878,11/30/2018,141.35001,1
90878,12/31/2018,127.63000,1
